metric,basin1,basin2
basin,American,Tule
elevation,1477.17046303351,1359.19061993702
slope,42.4,38.7
aridity,1.95,0.31
precip,1891.3,637.6
flow,8.83702034030902,1.91384856639937
et,476.6,355.5
RR,0.721657061280601,0.381947929736512
surQ,2.24343710390001,1.49878865026896
latQ,68.8790873856118,40.6110130168768
sgwQ,15.3377244719277,36.6402496612327
dgwQ,13.5390183680497,21.2458424013469
avg_flow,8.83702034030902,1.91384856639937
avg_nit,0.0754109225528371,0.100877422159898
avg_doc,0.55174970154048,0.206495695249111
